poinew_1,poinew_2,poinew_3
1.820834,-6.030891,-1.688018
1.831702,-6.070716,0.1106832
1.823938,-6.048805,-1.458583
1.828506,-6.067782,0.332124
1.821732,-6.045303,-1.227283
1.827013,-6.06666,0.5543105
1.821178,-6.051115,-1.000868
1.836507,-6.105907,0.7828887
1.819442,-6.052998,-0.7760641
1.818764,-6.054577,-0.5530903
1.83798,-6.122422,1.242548
1.819943,-6.066185,-0.3319147
1.830106,-6.103929,1.47118
1.818321,-6.068474,-0.1105784
1.56719,-5.23367,1.463881
1.797563,-6.029805,-1.685947
1.808215,-6.069407,0.1105435
1.801145,-6.049532,-1.457233
1.806744,-6.072214,0.3320193
1.801179,-6.053508,-1.227665
1.8098,-6.086369,0.5555307
1.796669,-6.046072,-0.9989906
1.811227,-6.09896,0.7811826
1.799431,-6.063118,-0.7765515
1.808669,-6.098146,1.007438
1.797619,-6.060889,-0.5530903
1.808786,-6.102448,1.237206
1.798189,-6.070586,-0.33181
1.810447,-6.115886,1.47253
1.795992,-6.07095,-0.1105086
1.545625,-5.227993,1.460775
1.776504,-6.036043,-1.685947
1.785325,-6.069926,0.1104388
1.77672,-6.044564,-1.454533
1.785537,-6.078484,0.3320193
1.777823,-6.052223,-1.226139
1.785176,-6.08118,0.5544848
1.772773,-6.04283,-0.9974263
1.782666,-6.080481,0.7780139
1.777698,-6.067458,-0.7763078
1.783486,-6.091152,1.005248
1.775891,-6.065215,-0.552916
1.788577,-6.112493,1.237969
1.774186,-6.067241,-0.3312866
1.786354,-6.112815,1.47028
1.77535,-6.079101,-0.1105435
1.530074,-5.242629,1.463363
1.755424,-6.042207,-1.685947
1.764685,-6.078042,0.1104737
1.755066,-6.048858,-1.454084
1.759858,-6.069333,0.3311819
1.753952,-6.048964,-1.224231
1.76283,-6.083547,0.5541362
1.751669,-6.048982,-0.9974263
1.761982,-6.088574,0.7782577
1.752647,-6.060277,-0.7746016
1.759471,-6.087852,1.003684
1.754709,-6.071377,-0.552916
1.766684,-6.116813,1.237587
1.752442,-6.071479,-0.3311819
1.758525,-6.096545,1.464881
1.752458,-6.079496,-0.1104388
1.509624,-5.240513,1.461292
1.733257,-6.044584,-1.684912
1.741804,-6.078398,0.110369
1.733405,-6.053074,-1.453634
1.738662,-6.075439,0.3311819
1.729046,-6.041838,-1.221559
1.74213,-6.091578,0.5543105
1.728372,-6.047462,-0.9961748
1.740718,-6.094687,0.7782577
1.732027,-6.068267,-0.7748454
1.738209,-6.093957,1.003684
1.732412,-6.073633,-0.5525674
1.744784,-6.121055,1.237206
1.729597,-6.071796,-0.3308679
1.737233,-6.102646,1.464881
1.727943,-6.074037,-0.1102294
1.491323,-5.245751,1.461292
1.707939,-6.035727,-1.680771
1.7184,-6.076744,0.1102294
1.712265,-6.059088,-1.453634
1.715816,-6.075705,0.3308679
1.707412,-6.045947,-1.221178
1.716527,-6.082282,0.552916
1.708324,-6.057261,-0.9968005
1.718356,-6.096905,0.7777702
1.710835,-6.074276,-0.7748454
1.714786,-6.092381,1.002432
1.704183,-6.054711,-0.5503013
1.723406,-6.127108,1.237206
1.707852,-6.075874,-0.3307633
1.713285,-6.099292,1.462632
1.705649,-6.076181,-0.1101596
1.468827,-5.236044,1.457151
1.687379,-6.043512,-1.681289
1.695566,-6.076927,0.1101247
1.689011,-6.057519,-1.451834
1.693525,-6.077809,0.3306586
1.685243,-6.048087,-1.220414
1.694217,-6.084398,0.5525674
1.683993,-6.051768,-0.9949233
1.697064,-6.102866,0.7777702
1.689089,-6.078299,-0.7746016
1.694567,-6.102136,1.003058
1.683572,-6.062543,-0.5504757
1.697809,-6.117952,1.234153
1.686632,-6.081798,-0.3307633
1.693025,-6.108992,1.463532
1.685497,-6.085952,-0.1102294
1.449511,-5.237416,1.456116
1.666273,-6.049365,-1.681289
1.671158,-6.07124,0.1099153
1.665789,-6.055862,-1.450034
1.67177,-6.081758,0.3305539
1.665682,-6.059612,-1.221559
1.672968,-6.090275,0.5525674
1.660243,-6.048086,-0.993359
1.674175,-6.10301,0.777039
1.665763,-6.076499,-0.7736267
1.673256,-6.108014,1.003058
1.663452,-6.072226,-0.5508243
1.678516,-6.131416,1.235679
1.659595,-6.066458,-0.3296119
1.673233,-6.120503,1.464881
1.664242,-6.091799,-0.1102294
1.431221,-5.242444,1.456116
1.64464,-6.053281,-1.680771
1.649956,-6.077037,0.1099153
1.642088,-6.052237,-1.447785
1.646886,-6.06992,0.3296119
1.641437,-6.05402,-1.21927
1.651699,-6.096077,0.5525674
1.640154,-6.057657,-0.9939847
1.650787,-6.101152,0.7760641
1.639879,-6.06503,-0.771433
1.652992,-6.113529,1.003058
1.639647,-6.068378,-0.5499527
1.653009,-6.122075,1.232626
1.637888,-6.070286,-0.3295072
1.648306,-6.113136,1.461732
1.643511,-6.095353,-0.1101945
1.413326,-5.245295,1.455598
1.6225,-6.055253,-1.679736
1.630312,-6.084406,0.1099502
1.621504,-6.055766,-1.447335
1.625688,-6.075632,0.3296119
1.615731,-6.042644,-1.215835
1.628352,-6.094107,0.5518702
1.619037,-6.059246,-0.993359
1.629522,-6.102757,0.7755766
1.621292,-6.076189,-0.7721642
1.626552,-6.100175,0.9999292
1.620506,-6.081766,-0.55065
1.635731,-6.138905,1.234916
1.618778,-6.079543,-0.3297166
1.627023,-6.114802,1.460832
1.620169,-6.093323,-0.1100549
1.394015,-5.246463,1.454563
1.599943,-6.051261,-1.677148
1.608552,-6.088127,0.1099153
1.601351,-6.065157,-1.448235
1.605489,-6.085132,0.3298212
1.596185,-6.049867,-1.216217
1.608134,-6.099473,0.5518702
1.59838,-6.066771,-0.9936718
1.609221,-6.112247,0.7760641
1.601083,-6.085651,-0.7726517
1.604244,-6.101995,0.9993035
1.598304,-6.079399,-0.5499527
1.612297,-6.136982,1.233389
1.597039,-6.083225,-0.3296119
1.605669,-6.120444,1.460832
1.597368,-6.093138,-0.1099502
1.372755,-5.240084,1.451457
1.577835,-6.053071,-1.676112
1.582754,-6.076288,0.1096011
1.578207,-6.063167,-1.446435
1.583735,-6.088766,0.3297166
1.574563,-6.053502,-1.215835
1.583325,-6.091551,0.55065
1.574214,-6.060841,-0.9917946
1.588374,-6.119748,0.7763078
1.580328,-6.093124,-0.7728955
1.582934,-6.107558,0.9993035
1.572573,-6.067583,-0.548384
1.588404,-6.13307,1.231481
1.576796,-6.09263,-0.3298212
1.580879,-6.112805,1.457683
1.573588,-6.088996,-0.1097756
1.35349,-5.241103,1.450422
1.557658,-6.062284,-1.677148
1.561038,-6.079839,0.1095662
1.552189,-6.049763,-1.441936
1.562472,-6.094257,0.3297166
1.552936,-6.057059,-1.215453
1.562547,-6.098971,0.5508243
1.553537,-6.068214,-0.9921075
1.563066,-6.10987,0.7743579
1.5561,-6.087064,-0.771433
1.561605,-6.113046,0.9993035
1.551384,-6.073035,-0.548384
1.5665,-6.136674,1.2311
1.55157,-6.082614,-0.3289838
1.560013,-6.120174,1.458133
1.55183,-6.092514,-0.1097407
1.336139,-5.24954,1.451457
1.535539,-6.063938,-1.676112
1.539806,-6.085251,0.1095662
1.532974,-6.062701,-1.443736
1.537765,-6.086119,0.3289838
1.533226,-6.068153,-1.216598
1.539784,-6.098593,0.5503013
1.53138,-6.069768,-0.9914818
1.541729,-6.115289,0.7743579
1.529993,-6.073209,-0.7689956
1.540258,-6.11846,0.9993035
1.530176,-6.078413,-0.548384
1.54507,-6.142105,1.2311
1.530328,-6.087993,-0.3289838
1.536266,-6.116132,1.455883
1.530554,-6.097894,-0.1097407
1.317807,-5.254172,1.451457
1.512959,-6.063638,-1.674559
1.517587,-6.086709,0.1094964
1.51086,-6.064234,-1.442836
1.516511,-6.09145,0.3289838
1.506817,-6.052512,-1.2124
1.518487,-6.10393,0.5503013
1.510182,-6.075078,-0.9914818
1.518459,-6.112927,0.7733829
1.508785,-6.078513,-0.7689956
1.513659,-6.102709,0.9958619
1.50751,-6.077916,-0.547861
1.522203,-6.141745,1.229955
1.509068,-6.093298,-0.3289838
1.510694,-6.104433,1.451834
1.506379,-6.091552,-0.1095313
1.296679,-5.247487,1.448351
1.489017,-6.057626,-1.671453
1.496332,-6.091969,0.1094964
1.490611,-6.073256,-1.443736
1.493335,-6.088947,0.3285652
1.48568,-6.057735,-1.2124
1.493852,-6.095647,0.5490811
1.488968,-6.080311,-0.9914818
1.496168,-6.114335,0.7728955
1.486614,-6.079885,-0.7685081
1.492817,-6.109875,0.9961748
1.487231,-6.087012,-0.5482096
1.50029,-6.145113,1.229573
1.486842,-6.094648,-0.3287745
1.488454,-6.105882,1.450934
1.486053,-6.100658,-0.1096011
1.275612,-5.240719,1.445246
1.466499,-6.057154,-1.669901
1.471765,-6.08355,0.1092521
1.468945,-6.076528,-1.443286
1.470197,-6.086357,0.3281465
1.465448,-6.066701,-1.213164
1.473499,-6.104699,0.5494298
1.463567,-6.068189,-0.9886659
1.475746,-6.123379,0.7733829
1.466776,-6.090828,-0.7692394
1.470556,-6.111207,0.9955491
1.462711,-6.078607,-0.5469894
1.475159,-6.135042,1.22652
1.464159,-6.093975,-0.3284605
1.466222,-6.107251,1.450034
1.465215,-6.107753,-0.109636
1.257311,-5.24514,1.445246
1.444451,-6.058478,-1.668865
1.450058,-6.086705,0.1092172
1.444566,-6.068347,-1.440137
1.449867,-6.095338,0.3283558
1.444263,-6.071779,-1.213164
1.450799,-6.10399,0.5489069
1.444201,-6.080949,-0.9899174
1.450237,-6.11111,0.7711892
1.446423,-6.099774,-0.7697269
1.450125,-6.120147,0.9961748
1.442402,-6.087553,-0.5473381
1.453282,-6.138243,1.226139
1.44058,-6.089331,-0.3279371
1.441756,-6.099056,1.446885
1.444345,-6.114777,-0.1096709
1.238106,-5.245737,1.44421
1.423735,-6.065364,-1.669383
1.428803,-6.091729,0.1092172
1.420706,-6.061969,-1.437437
1.425848,-6.088694,0.3277278
1.422164,-6.07296,-1.2124
1.429028,-6.107078,0.5487326
1.419818,-6.072488,-0.9877273
1.429349,-6.118068,0.771433
1.424219,-6.10092,-0.7692394
1.427856,-6.121324,0.9955491
1.421145,-6.092551,-0.5473381
1.432738,-6.147103,1.226902
1.417049,-6.084596,-0.3274138
1.421341,-6.107848,1.447785
1.419822,-6.106148,-0.1094266
1.218913,-5.246263,1.443175
1.40125,-6.06465,-1.66783
1.40528,-6.086937,0.1090426
1.401728,-6.076385,-1.439687
1.404137,-6.091688,0.3276231
1.399193,-6.070236,-1.210874
1.405914,-6.104262,0.5480353
1.398612,-6.077407,-0.9877273
1.407984,-6.12302,0.771433
1.40247,-6.103919,-0.7689956
1.402502,-6.108943,0.9927332
1.398977,-6.093591,-0.5469894
1.409955,-6.146326,1.225757
1.395802,-6.089505,-0.3274138
1.398706,-6.107073,1.446435
1.398052,-6.109117,-0.1093917
1.201455,-5.254252,1.44421
1.380072,-6.069504,-1.66783
1.384911,-6.095706,0.1091124
1.379214,-6.075541,-1.438337
1.382865,-6.096552,0.3276231
1.377126,-6.071254,-1.210111
1.382836,-6.10136,0.5473381
1.376517,-6.0784,-0.9871016
1.386164,-6.125961,0.7711892
1.381155,-6.108777,-0.7689956
1.382475,-6.119582,0.9936718
1.374186,-6.08289,-0.5455949
1.387627,-6.14738,1.224994
1.375854,-6.100185,-0.3277278
1.376524,-6.108117,1.445535
1.377598,-6.117862,-0.1094615
1.179714,-5.243336,1.440069
1.358034,-6.070515,-1.666795
1.361006,-6.088794,0.108903
1.358848,-6.084122,-1.439237
1.363316,-6.109139,0.3280418
1.355926,-6.076024,-1.210111
1.360662,-6.102261,0.5469894
1.353573,-6.075455,-0.9858502
1.364772,-6.130763,0.7711892
1.356374,-6.098059,-0.7670457
1.360248,-6.120514,0.9930462
1.355105,-6.097374,-0.5464665
1.36531,-6.148353,1.224231
1.353255,-6.099102,-0.3274138
1.353507,-6.105274,1.443736
1.356667,-6.124585,-0.1094964
1.159734,-5.239877,1.437999
1.33642,-6.073331,-1.666277
1.341033,-6.099366,0.1090077
1.333839,-6.071698,-1.435188
1.340698,-6.108008,0.3277278
1.333866,-6.076885,-1.209347
1.340207,-6.110865,0.5473381
1.331089,-6.074354,-0.9849116
1.339541,-6.118037,0.7689956
1.33508,-6.102757,-0.7670457
1.340562,-6.132945,0.9942976
1.336366,-6.113745,-0.5475124
1.342582,-6.147328,1.223086
1.333235,-6.109642,-0.3277278
1.332187,-6.109962,1.443736
1.334854,-6.12733,-0.1094615
1.14308,-5.251444,1.440069
1.316029,-6.081736,-1.667312
1.317621,-6.094237,0.1088332
1.31099,-6.068697,-1.433388
1.315155,-6.093128,0.326681
1.312646,-6.081503,-1.209347
1.318448,-6.113559,0.5471637
1.314038,-6.098274,-0.9880402
1.318178,-6.122676,0.7689956
1.311264,-6.095736,-0.7655833
1.317486,-6.129862,0.9930462
1.310412,-6.096946,-0.5455949
1.321941,-6.155816,1.223849
1.311062,-6.110353,-0.3275185
1.307583,-6.099331,1.440137
1.311783,-6.124131,-0.1093219
1.122721,-5.245957,1.437481
1.293586,-6.080623,-1.665759
1.296756,-6.100756,0.1088681
1.290204,-6.075143,-1.433838
1.294708,-6.101589,0.3268904
1.287742,-6.068764,-1.205913
1.297099,-6.118124,0.5471637
1.28824,-6.081566,-0.9845986
1.297209,-6.129182,0.7692394
1.2908,-6.10416,-0.7660707
